,0
0,mask1_T2_firstorder_10Percentile
1,mask1_T2_firstorder_90Percentile
2,mask1_T2_firstorder_Energy
3,mask1_T2_firstorder_Mean
4,mask1_T2_firstorder_Median
5,mask1_T2_firstorder_RootMeanSquared
6,mask1_T2_glcm_ClusterProminence
7,mask1_T2_glcm_ClusterShade
8,mask1_T2_glcm_ClusterTendency
9,mask1_T2_glcm_DifferenceVariance
10,mask1_T2_glcm_JointEntropy
11,mask1_T2_glcm_MaximumProbability
12,mask1_T2_glcm_SumEntropy
13,mask1_T2_glcm_SumSquares
14,mask1_T2_glszm_GrayLevelNonUniformity
15,mask1_T2_glszm_GrayLevelNonUniformityNormalized
16,mask1_T2_glszm_GrayLevelVariance
17,mask1_T2_glszm_HighGrayLevelZoneEmphasis
18,mask1_T2_glszm_LargeAreaHighGrayLevelEmphasis
19,mask1_T2_glszm_SizeZoneNonUniformityNormalized
20,mask1_T2_glszm_SmallAreaHighGrayLevelEmphasis
21,mask1_T2_glszm_ZoneEntropy
22,mask1_T2_glrlm_GrayLevelNonUniformity
23,mask1_T2_glrlm_LowGrayLevelRunEmphasis
24,mask1_T2_glrlm_RunLengthNonUniformity
25,mask1_T2_glrlm_ShortRunLowGrayLevelEmphasis
26,mask1_T2_ngtdm_Busyness
27,mask1_T2_ngtdm_Complexity
28,mask1_T2_ngtdm_Contrast
29,mask1_T2_shape_Elongation
30,mask1_T2_shape_Flatness
31,mask1_T2_shape_LeastAxisLength
32,mask1_T2_shape_Maximum2DDiameterRow
33,mask1_T2_shape_Maximum2DDiameterSlice
34,mask1_T2_shape_Maximum3DDiameter
35,mask1_T2_shape_Sphericity
36,mask1_T1C_firstorder_Kurtosis
37,mask1_T1C_firstorder_Median
38,mask1_T1C_firstorder_Skewness
39,mask1_T1C_firstorder_Variance
40,mask1_T1C_glcm_ClusterProminence
41,mask1_T1C_glcm_DifferenceVariance
42,mask1_T1C_glcm_Id
43,mask1_T1C_glcm_Idm
44,mask1_T1C_glcm_Imc1
45,mask1_T1C_glcm_InverseVariance
46,mask1_T1C_glcm_JointEnergy
47,mask1_T1C_glcm_MCC
48,mask1_T1C_glcm_MaximumProbability
49,mask1_T1C_glcm_SumEntropy
50,mask1_T1C_glszm_GrayLevelNonUniformity
51,mask1_T1C_glszm_GrayLevelVariance
52,mask1_T1C_glszm_HighGrayLevelZoneEmphasis
53,mask1_T1C_glszm_LargeAreaHighGrayLevelEmphasis
54,mask1_T1C_glszm_LargeAreaLowGrayLevelEmphasis
55,mask1_T1C_glszm_LowGrayLevelZoneEmphasis
56,mask1_T1C_glszm_SmallAreaEmphasis
57,mask1_T1C_glszm_SmallAreaLowGrayLevelEmphasis
58,mask1_T1C_glszm_ZoneEntropy
59,mask1_T1C_glrlm_LongRunEmphasis
60,mask1_T1C_glrlm_LongRunLowGrayLevelEmphasis
61,mask1_T1C_glrlm_LowGrayLevelRunEmphasis
62,mask1_T1C_glrlm_RunEntropy
63,mask1_T1C_glrlm_RunLengthNonUniformity
64,mask1_T1C_glrlm_RunPercentage
65,mask1_T1C_glrlm_RunVariance
66,mask1_T1C_glrlm_ShortRunEmphasis
67,mask1_T1C_glrlm_ShortRunLowGrayLevelEmphasis
68,mask1_T1C_ngtdm_Busyness
69,mask1_T1C_ngtdm_Strength
70,mask2_T2_firstorder_10Percentile
71,mask2_T2_firstorder_90Percentile
72,mask2_T2_firstorder_Entropy
73,mask2_T2_firstorder_InterquartileRange
74,mask2_T2_firstorder_Maximum
75,mask2_T2_firstorder_Mean
76,mask2_T2_firstorder_Range
77,mask2_T2_firstorder_RootMeanSquared
78,mask2_T2_firstorder_Variance
79,mask2_T2_glcm_ClusterProminence
80,mask2_T2_glcm_ClusterShade
81,mask2_T2_glcm_DifferenceVariance
82,mask2_T2_glcm_Imc2
83,mask2_T2_glcm_JointAverage
84,mask2_T2_glcm_MCC
85,mask2_T2_glcm_MaximumProbability
86,mask2_T2_glcm_SumAverage
87,mask2_T2_glszm_GrayLevelNonUniformity
88,mask2_T2_glszm_GrayLevelNonUniformityNormalized
89,mask2_T2_glszm_GrayLevelVariance
90,mask2_T2_glszm_LargeAreaEmphasis
91,mask2_T2_glszm_LowGrayLevelZoneEmphasis
92,mask2_T2_glszm_SizeZoneNonUniformity
93,mask2_T2_glszm_SmallAreaHighGrayLevelEmphasis
94,mask2_T2_glszm_SmallAreaLowGrayLevelEmphasis
95,mask2_T2_glszm_ZoneEntropy
96,mask2_T2_glszm_ZonePercentage
97,mask2_T2_glszm_ZoneVariance
98,mask2_T2_glrlm_GrayLevelVariance
99,mask2_T2_glrlm_LowGrayLevelRunEmphasis
100,mask2_T2_glrlm_RunEntropy
101,mask2_T2_glrlm_ShortRunLowGrayLevelEmphasis
102,mask2_T2_ngtdm_Busyness
103,mask2_T2_ngtdm_Coarseness
104,mask2_T2_ngtdm_Complexity
105,mask2_T2_ngtdm_Contrast
106,mask2_T2_ngtdm_Strength
107,mask2_T2_shape_Elongation
108,mask2_T2_shape_Flatness
109,mask2_T2_shape_LeastAxisLength
110,mask2_T2_shape_MajorAxisLength
111,mask2_T2_shape_Maximum2DDiameterColumn
112,mask2_T2_shape_Maximum2DDiameterRow
113,mask2_T2_shape_Maximum2DDiameterSlice
114,mask2_T2_shape_Sphericity
115,mask2_T1C_firstorder_Energy
116,mask2_T1C_firstorder_Entropy
117,mask2_T1C_firstorder_Kurtosis
118,mask2_T1C_firstorder_Minimum
119,mask2_T1C_firstorder_Skewness
120,mask2_T1C_firstorder_Variance
121,mask2_T1C_glcm_Autocorrelation
122,mask2_T1C_glcm_ClusterProminence
123,mask2_T1C_glcm_ClusterShade
124,mask2_T1C_glcm_Contrast
125,mask2_T1C_glcm_Correlation
126,mask2_T1C_glcm_DifferenceAverage
127,mask2_T1C_glcm_DifferenceEntropy
128,mask2_T1C_glcm_Idmn
129,mask2_T1C_glcm_Imc1
130,mask2_T1C_glcm_Imc2
131,mask2_T1C_glcm_InverseVariance
132,mask2_T1C_glcm_JointAverage
133,mask2_T1C_glcm_MaximumProbability
134,mask2_T1C_glcm_SumEntropy
135,mask2_T1C_glcm_SumSquares
136,mask2_T1C_glszm_GrayLevelVariance
137,mask2_T1C_glszm_HighGrayLevelZoneEmphasis
138,mask2_T1C_glszm_LargeAreaEmphasis
139,mask2_T1C_glszm_LargeAreaHighGrayLevelEmphasis
140,mask2_T1C_glszm_SizeZoneNonUniformity
141,mask2_T1C_glszm_SizeZoneNonUniformityNormalized
142,mask2_T1C_glszm_SmallAreaEmphasis
143,mask2_T1C_glszm_SmallAreaHighGrayLevelEmphasis
144,mask2_T1C_glszm_ZoneEntropy
145,mask2_T1C_glszm_ZoneVariance
146,mask2_T1C_glrlm_HighGrayLevelRunEmphasis
147,mask2_T1C_glrlm_RunEntropy
148,mask2_T1C_glrlm_RunLengthNonUniformityNormalized
149,mask2_T1C_glrlm_ShortRunEmphasis
150,mask2_T1C_glrlm_ShortRunHighGrayLevelEmphasis
151,mask2_T1C_ngtdm_Complexity
152,mask2_T1C_ngtdm_Contrast
